,,country,year,life_expectancy
257,257,Zimbabwe,1800,33.7
258,258,��land,1800,
259,259,South Sudan,1800,26.67
260,0,Abkhazia,1801,
261,1,Afghanistan,1801,28.2
262,2,Akrotiri and Dhekelia,1801,
263,3,Albania,1801,35.4
264,4,Algeria,1801,28.82
265,5,American Samoa,1801,
266,6,Andorra,1801,
267,7,Angola,1801,26.98
268,8,Anguilla,1801,
269,9,Antigua and Barbuda,1801,33.54
270,10,Argentina,1801,33.2
271,11,Armenia,1801,34.0
272,12,Aruba,1801,34.42
273,13,Australia,1801,34.05
274,14,Austria,1801,34.4
275,15,Azerbaijan,1801,29.17
276,16,Bahamas,1801,35.18
277,17,Bahrain,1801,30.3
278,18,Bangladesh,1801,25.5
279,19,Barbados,1801,32.12
280,20,Belarus,1801,36.2
281,21,Belgium,1801,40.01
282,22,Belize,1801,26.5
283,23,Benin,1801,31.0
284,24,Bermuda,1801,
285,25,Bhutan,1801,28.8
286,26,Bolivia,1801,33.0
287,27,Bosnia and Herzegovina,1801,35.1
288,28,Botswana,1801,33.6
289,29,Brazil,1801,32.0
290,30,British Virgin Islands,1801,
291,31,Brunei,1801,29.2
292,32,Bulgaria,1801,35.84
293,33,Burkina Faso,1801,29.2
294,34,Burundi,1801,31.5
295,35,Cambodia,1801,35.0
296,36,Cameroon,1801,28.75
297,37,Canada,1801,39.0
298,38,Cape Verde,1801,33.8
299,39,Cayman Islands,1801,
300,40,Central African Republic,1801,30.0
301,41,Chad,1801,30.9
302,42,Channel Islands,1801,
303,43,Chile,1801,32.0
304,44,China,1801,32.0
305,45,Christmas Island,1801,
306,46,Cocos Island,1801,
307,47,Colombia,1801,32.0
308,48,Comoros,1801,32.1
309,49,"Congo, Dem. Rep.",1801,31.6
310,50,"Congo, Rep.",1801,32.7
311,51,Cook Is,1801,
312,52,Costa Rica,1801,30.21
313,53,Cote d'Ivoire,1801,31.16
314,54,Croatia,1801,36.1
315,55,Cuba,1801,32.33
316,56,Cyprus,1801,38.5
317,57,Czech Republic,1801,34.95
318,58,Czechoslovakia,1801,
319,59,Denmark,1801,38.51
320,60,Djibouti,1801,29.9
321,61,Dominica,1801,
322,62,Dominican Republic,1801,29.9
323,63,East Germany,1801,
324,64,Ecuador,1801,32.9
325,65,Egypt,1801,33.0
326,66,El Salvador,1801,28.7
327,67,Equatorial Guinea,1801,29.8
328,68,Eritrea,1801,30.2
329,69,Eritrea and Ethiopia,1801,
330,70,Estonia,1801,35.7
331,71,Ethiopia,1801,29.7
332,72,Faeroe Islands,1801,
333,73,Falkland Is (Malvinas),1801,
334,74,Fiji,1801,26.1
335,75,Finland,1801,40.3
336,76,France,1801,36.37
337,77,French Guiana,1801,30.5
338,78,French Polynesia,1801,25.6
339,79,Gabon,1801,30.6
340,80,Gambia,1801,28.8
341,81,Georgia,1801,31.87
342,82,Germany,1801,38.37
343,83,Ghana,1801,28.0
344,84,Gibraltar,1801,
345,85,Greece,1801,36.6
346,86,Greenland,1801,33.87
347,87,Grenada,1801,31.4
348,88,Guadeloupe,1801,27.66
349,89,Guam,1801,27.5
350,90,Guatemala,1801,25.8
351,91,Guernsey,1801,
352,92,Guinea,1801,29.51
353,93,Guinea-Bissau,1801,32.0
354,94,Guyana,1801,31.12
355,95,Haiti,1801,29.0
356,96,Holy See,1801,
357,97,Honduras,1801,33.9
358,98,"Hong Kong, China",1801,34.9
359,99,Hungary,1801,36.0
360,100,Iceland,1801,33.88
361,101,India,1801,25.44
362,102,Indonesia,1801,30.0
363,103,Iran,1801,25.6
364,104,Iraq,1801,31.2
365,105,Ireland,1801,38.3
366,106,Isle of Man,1801,
367,107,Israel,1801,32.0
368,108,Italy,1801,29.69
369,109,Jamaica,1801,34.2
370,110,Japan,1801,36.4
371,111,Jersey,1801,
372,112,Jordan,1801,31.7
373,113,Kazakhstan,1801,26.2
374,114,Kenya,1801,25.5
375,115,Kiribati,1801,24.9
376,116,North Korea,1801,26.0
377,117,South Korea,1801,25.8
378,118,"United Korea (former)
",1801,
379,119,Kosovo,1801,
380,120,Kuwait,1801,26.0
381,121,Kyrgyz Republic,1801,23.94
382,122,Lao,1801,31.9
383,123,Latvia,1801,33.0
384,124,Lebanon,1801,29.7
385,125,Lesotho,1801,32.8
386,126,Liberia,1801,31.1
387,127,Libya,1801,33.1
388,128,Liechtenstein,1801,
389,129,Lithuania,1801,28.9
390,130,Luxembourg,1801,36.9
391,131,"Macao, China",1801,34.7
392,132,"Macedonia, FYR",1801,36.1
393,133,Madagascar,1801,30.5
394,134,Malawi,1801,30.3
395,135,Malaysia,1801,30.6
396,136,Maldives,1801,32.65
397,137,Mali,1801,26.41
398,138,Malta,1801,28.7
399,139,Marshall Islands,1801,
400,140,Martinique,1801,30.15
401,141,Mauritania,1801,32.0
402,142,Mauritius,1801,28.7
403,143,Mayotte,1801,32.5
404,144,Mexico,1801,26.9
405,145,"Micronesia, Fed. Sts.",1801,26.7
406,146,Moldova,1801,33.15
407,147,Monaco,1801,
408,148,Mongolia,1801,31.8
409,149,Montenegro,1801,35.4
410,150,Montserrat,1801,
411,151,Morocco,1801,33.1
412,152,Mozambique,1801,30.28
413,153,Myanmar,1801,30.8
414,154,Namibia,1801,32.4
415,155,Nauru,1801,
416,156,Nepal,1801,32.8
417,157,Netherlands,1801,39.86
418,158,Netherlands Antilles,1801,34.41
419,159,New Caledonia,1801,26.0
420,160,New Zealand,1801,34.05
421,161,Ngorno-Karabakh,1801,
422,162,Nicaragua,1801,25.4
423,163,Niger,1801,30.8
424,164,Nigeria,1801,30.4
425,165,Niue,1801,
426,166,Norfolk Island,1801,
427,167,Northern Cyprus,1801,
428,168,Northern Mariana Islands,1801,
429,169,Norway,1801,35.82
430,170,Oman,1801,32.3
431,171,Pakistan,1801,25.8
432,172,Palau,1801,
433,173,Panama,1801,32.9
434,174,Papua New Guinea,1801,31.5
435,175,Paraguay,1801,35.5
436,176,Peru,1801,35.7
437,177,Philippines,1801,30.9
438,178,Pitcairn,1801,
439,179,Poland,1801,35.9
440,180,Portugal,1801,35.6
441,181,Puerto Rico,1801,30.43
442,182,Qatar,1801,30.8
443,183,Reunion,1801,33.0
444,184,Romania,1801,35.7
445,185,Russia,1801,29.57
446,186,Rwanda,1801,25.0
447,187,St. Barth̩lemy,1801,
448,188,St. Helena,1801,
449,189,St. Kitts and Nevis,1801,
450,190,St. Lucia,1801,28.01
451,191,St. Martin,1801,
452,192,St. Vincent and the Grenadines,1801,25.99
453,193,St.-Pierre-et-Miquelon,1801,
454,194,Samoa,1801,25.4
455,195,San Marino,1801,
456,196,Sao Tome and Principe,1801,31.0
457,197,Saudi Arabia,1801,32.1
458,198,Senegal,1801,25.2
459,199,Serbia,1801,35.5
460,200,Serbia and Montenegro,1801,
461,201,Serbia excluding Kosovo,1801,
462,202,Seychelles,1801,37.0
463,203,Sierra Leone,1801,25.1
464,204,Singapore,1801,29.1
465,205,Slovak Republic,1801,36.4
466,206,Slovenia,1801,36.6
467,207,Solomon Islands,1801,25.1
468,208,Somalia,1801,29.4
469,209,Somaliland,1801,
470,210,South Africa,1801,33.5
471,211,South Ossetia,1801,
472,212,Spain,1801,29.5
473,213,Sri Lanka,1801,32.6
474,214,Sudan,1801,31.4
475,215,Suriname,1801,32.9
476,216,Svalbard,1801,
477,217,Swaziland,1801,32.3
478,218,Sweden,1801,36.9
479,219,Switzerland,1801,38.0
480,220,Syria,1801,31.1
481,221,Taiwan,1801,28.3
482,222,Tajikistan,1801,24.24
483,223,Tanzania,1801,32.2
484,224,Thailand,1801,30.4
485,225,Timor-Leste,1801,28.95
486,226,Togo,1801,31.3
487,227,Tokelau,1801,
488,228,Tonga,1801,28.2
489,229,Transnistria,1801,
490,230,Trinidad and Tobago,1801,32.9
491,231,Tunisia,1801,28.8
492,232,Turkey,1801,35.0
493,233,Turkmenistan,1801,24.0
494,234,Turks and Caicos Islands,1801,
495,235,Tuvalu,1801,
496,236,Uganda,1801,25.3
497,237,Ukraine,1801,36.6
498,238,United Arab Emirates,1801,30.7
499,239,United Kingdom,1801,37.35
500,240,United States,1801,39.41
501,241,Uruguay,1801,32.9
502,242,USSR,1801,
503,243,Uzbekistan,1801,26.93
504,244,Wallis et Futuna,1801,
505,245,Vanuatu,1801,24.3
506,246,Venezuela,1801,32.2
507,247,West Bank and Gaza,1801,32.1
508,248,West Germany,1801,
509,249,Western Sahara,1801,34.75
510,250,Vietnam,1801,32.0
511,251,Virgin Islands (U.S.),1801,33.4
512,252,North Yemen (former),1801,
513,253,South Yemen (former),1801,
514,254,Yemen,1801,23.39
515,255,Yugoslavia,1801,
516,256,Zambia,1801,32.6
517,257,Zimbabwe,1801,33.7
518,258,��land,1801,
519,259,South Sudan,1801,26.67
520,0,Abkhazia,1802,
521,1,Afghanistan,1802,28.19
522,2,Akrotiri and Dhekelia,1802,
523,3,Albania,1802,35.4
524,4,Algeria,1802,28.82
525,5,American Samoa,1802,
526,6,Andorra,1802,
527,7,Angola,1802,26.98
528,8,Anguilla,1802,
529,9,Antigua and Barbuda,1802,33.54
530,10,Argentina,1802,33.2
531,11,Armenia,1802,34.0
532,12,Aruba,1802,34.42
533,13,Australia,1802,34.05
534,14,Austria,1802,34.4
535,15,Azerbaijan,1802,29.17
536,16,Bahamas,1802,35.18
537,17,Bahrain,1802,30.3
538,18,Bangladesh,1802,25.5
539,19,Barbados,1802,32.12
540,20,Belarus,1802,36.2
541,21,Belgium,1802,40.02
542,22,Belize,1802,26.5
543,23,Benin,1802,31.0
544,24,Bermuda,1802,
545,25,Bhutan,1802,28.8
546,26,Bolivia,1802,33.0
547,27,Bosnia and Herzegovina,1802,35.1
548,28,Botswana,1802,33.6
549,29,Brazil,1802,32.0
550,30,British Virgin Islands,1802,
551,31,Brunei,1802,29.2
552,32,Bulgaria,1802,35.89
553,33,Burkina Faso,1802,29.2
554,34,Burundi,1802,31.5
555,35,Cambodia,1802,35.0
556,36,Cameroon,1802,28.75
557,37,Canada,1802,39.0
558,38,Cape Verde,1802,33.8
559,39,Cayman Islands,1802,
560,40,Central African Republic,1802,30.0
561,41,Chad,1802,30.9
562,42,Channel Islands,1802,
563,43,Chile,1802,32.0
564,44,China,1802,32.0
565,45,Christmas Island,1802,
566,46,Cocos Island,1802,
567,47,Colombia,1802,32.0
568,48,Comoros,1802,32.1
569,49,"Congo, Dem. Rep.",1802,31.6
570,50,"Congo, Rep.",1802,32.7
571,51,Cook Is,1802,
572,52,Costa Rica,1802,30.21
573,53,Cote d'Ivoire,1802,31.16
574,54,Croatia,1802,36.1
575,55,Cuba,1802,32.45
576,56,Cyprus,1802,38.5
577,57,Czech Republic,1802,34.95
578,58,Czechoslovakia,1802,
579,59,Denmark,1802,44.37
580,60,Djibouti,1802,29.9
581,61,Dominica,1802,
582,62,Dominican Republic,1802,29.9
583,63,East Germany,1802,
584,64,Ecuador,1802,32.9
585,65,Egypt,1802,33.0
586,66,El Salvador,1802,28.7
587,67,Equatorial Guinea,1802,29.8
588,68,Eritrea,1802,30.2
589,69,Eritrea and Ethiopia,1802,
590,70,Estonia,1802,35.26
591,71,Ethiopia,1802,29.7
592,72,Faeroe Islands,1802,
593,73,Falkland Is (Malvinas),1802,
594,74,Fiji,1802,26.1
595,75,Finland,1802,39.2
596,76,France,1802,34.38
597,77,French Guiana,1802,30.5
598,78,French Polynesia,1802,25.6
599,79,Gabon,1802,30.6
600,80,Gambia,1802,28.8
601,81,Georgia,1802,31.87
602,82,Germany,1802,38.37
603,83,Ghana,1802,28.0
604,84,Gibraltar,1802,
605,85,Greece,1802,36.6
606,86,Greenland,1802,33.87
607,87,Grenada,1802,31.4
608,88,Guadeloupe,1802,27.66
609,89,Guam,1802,27.5
610,90,Guatemala,1802,25.8
611,91,Guernsey,1802,
612,92,Guinea,1802,29.52
613,93,Guinea-Bissau,1802,32.0
614,94,Guyana,1802,31.12
615,95,Haiti,1802,29.0
616,96,Holy See,1802,
617,97,Honduras,1802,33.9
618,98,"Hong Kong, China",1802,34.9
619,99,Hungary,1802,36.0
620,100,Iceland,1802,27.62
621,101,India,1802,25.0
622,102,Indonesia,1802,30.0
623,103,Iran,1802,25.6
624,104,Iraq,1802,31.2
625,105,Ireland,1802,38.3
626,106,Isle of Man,1802,
627,107,Israel,1802,32.0
628,108,Italy,1802,29.69
629,109,Jamaica,1802,34.2
630,110,Japan,1802,36.4
631,111,Jersey,1802,
632,112,Jordan,1802,31.7
633,113,Kazakhstan,1802,26.2
634,114,Kenya,1802,25.5
635,115,Kiribati,1802,24.9
636,116,North Korea,1802,26.0
637,117,South Korea,1802,25.8
638,118,"United Korea (former)
",1802,
639,119,Kosovo,1802,
640,120,Kuwait,1802,26.0
641,121,Kyrgyz Republic,1802,23.94
642,122,Lao,1802,31.9
643,123,Latvia,1802,33.0
644,124,Lebanon,1802,29.7
645,125,Lesotho,1802,32.8
646,126,Liberia,1802,31.1
647,127,Libya,1802,33.1
648,128,Liechtenstein,1802,
649,129,Lithuania,1802,28.9
650,130,Luxembourg,1802,36.9
651,131,"Macao, China",1802,34.7
652,132,"Macedonia, FYR",1802,36.1
653,133,Madagascar,1802,30.5
654,134,Malawi,1802,30.3
655,135,Malaysia,1802,30.6
656,136,Maldives,1802,32.65
657,137,Mali,1802,26.41
658,138,Malta,1802,28.7
659,139,Marshall Islands,1802,
660,140,Martinique,1802,30.15
661,141,Mauritania,1802,32.0
662,142,Mauritius,1802,28.7
663,143,Mayotte,1802,32.5
664,144,Mexico,1802,26.9
665,145,"Micronesia, Fed. Sts.",1802,26.7
666,146,Moldova,1802,33.15
667,147,Monaco,1802,
668,148,Mongolia,1802,31.8
669,149,Montenegro,1802,35.4
670,150,Montserrat,1802,
671,151,Morocco,1802,33.1
672,152,Mozambique,1802,30.28
673,153,Myanmar,1802,30.8
674,154,Namibia,1802,32.4
675,155,Nauru,1802,
676,156,Nepal,1802,32.8
677,157,Netherlands,1802,39.86
678,158,Netherlands Antilles,1802,34.41
679,159,New Caledonia,1802,26.0
680,160,New Zealand,1802,34.05
681,161,Ngorno-Karabakh,1802,
682,162,Nicaragua,1802,25.4
683,163,Niger,1802,30.8
684,164,Nigeria,1802,30.4
685,165,Niue,1802,
686,166,Norfolk Island,1802,
687,167,Northern Cyprus,1802,
688,168,Northern Mariana Islands,1802,
689,169,Norway,1802,38.37
690,170,Oman,1802,32.3
691,171,Pakistan,1802,25.8
692,172,Palau,1802,
693,173,Panama,1802,32.9
694,174,Papua New Guinea,1802,31.5
695,175,Paraguay,1802,35.5
696,176,Peru,1802,35.7
697,177,Philippines,1802,30.9
698,178,Pitcairn,1802,
699,179,Poland,1802,35.9
700,180,Portugal,1802,35.6
701,181,Puerto Rico,1802,30.43
702,182,Qatar,1802,30.8
703,183,Reunion,1802,33.0
704,184,Romania,1802,35.7
705,185,Russia,1802,29.57
706,186,Rwanda,1802,25.0
707,187,St. Barth̩lemy,1802,
708,188,St. Helena,1802,
709,189,St. Kitts and Nevis,1802,
710,190,St. Lucia,1802,28.01
711,191,St. Martin,1802,
712,192,St. Vincent and the Grenadines,1802,25.99
713,193,St.-Pierre-et-Miquelon,1802,
714,194,Samoa,1802,25.4
715,195,San Marino,1802,
716,196,Sao Tome and Principe,1802,31.0
717,197,Saudi Arabia,1802,32.1
718,198,Senegal,1802,25.2
719,199,Serbia,1802,35.5
720,200,Serbia and Montenegro,1802,
721,201,Serbia excluding Kosovo,1802,
722,202,Seychelles,1802,37.0
723,203,Sierra Leone,1802,25.1
724,204,Singapore,1802,29.1
725,205,Slovak Republic,1802,36.4
726,206,Slovenia,1802,36.6
727,207,Solomon Islands,1802,25.1
728,208,Somalia,1802,29.4
729,209,Somaliland,1802,
730,210,South Africa,1802,33.5
731,211,South Ossetia,1802,
732,212,Spain,1802,29.5
733,213,Sri Lanka,1802,32.6
734,214,Sudan,1802,31.4
735,215,Suriname,1802,32.9
736,216,Svalbard,1802,
737,217,Swaziland,1802,32.3
738,218,Sweden,1802,40.2
739,219,Switzerland,1802,38.0
740,220,Syria,1802,31.1
741,221,Taiwan,1802,28.3
742,222,Tajikistan,1802,24.24
743,223,Tanzania,1802,32.2
744,224,Thailand,1802,30.4
745,225,Timor-Leste,1802,28.95
746,226,Togo,1802,31.3
747,227,Tokelau,1802,
748,228,Tonga,1802,28.2
749,229,Transnistria,1802,
750,230,Trinidad and Tobago,1802,32.9
751,231,Tunisia,1802,28.8
752,232,Turkey,1802,35.0
753,233,Turkmenistan,1802,24.0
754,234,Turks and Caicos Islands,1802,
755,235,Tuvalu,1802,
756,236,Uganda,1802,25.3
757,237,Ukraine,1802,36.6
758,238,United Arab Emirates,1802,30.7
759,239,United Kingdom,1802,38.62
760,240,United States,1802,39.41
761,241,Uruguay,1802,32.9
762,242,USSR,1802,
763,243,Uzbekistan,1802,26.93
764,244,Wallis et Futuna,1802,
765,245,Vanuatu,1802,24.3
766,246,Venezuela,1802,32.2
767,247,West Bank and Gaza,1802,32.1
768,248,West Germany,1802,
769,249,Western Sahara,1802,34.75
770,250,Vietnam,1802,32.0
771,251,Virgin Islands (U.S.),1802,33.4
772,252,North Yemen (former),1802,
773,253,South Yemen (former),1802,
774,254,Yemen,1802,23.39
775,255,Yugoslavia,1802,
776,256,Zambia,1802,32.6
777,257,Zimbabwe,1802,33.7
778,258,��land,1802,
779,259,South Sudan,1802,26.67
780,0,Abkhazia,1803,
781,1,Afghanistan,1803,28.18
782,2,Akrotiri and Dhekelia,1803,
783,3,Albania,1803,35.4
784,4,Algeria,1803,28.82
785,5,American Samoa,1803,
786,6,Andorra,1803,
787,7,Angola,1803,26.98
788,8,Anguilla,1803,
789,9,Antigua and Barbuda,1803,33.54
790,10,Argentina,1803,33.2
791,11,Armenia,1803,34.0
792,12,Aruba,1803,34.42
793,13,Australia,1803,34.05
794,14,Austria,1803,34.4
795,15,Azerbaijan,1803,29.17
796,16,Bahamas,1803,35.18
797,17,Bahrain,1803,30.3
798,18,Bangladesh,1803,25.5
799,19,Barbados,1803,32.12
800,20,Belarus,1803,36.2
801,21,Belgium,1803,40.02
802,22,Belize,1803,26.5
803,23,Benin,1803,31.0
804,24,Bermuda,1803,
805,25,Bhutan,1803,28.8
806,26,Bolivia,1803,33.0
807,27,Bosnia and Herzegovina,1803,35.1
808,28,Botswana,1803,33.6
809,29,Brazil,1803,32.0
810,30,British Virgin Islands,1803,
811,31,Brunei,1803,29.2
812,32,Bulgaria,1803,35.93
813,33,Burkina Faso,1803,29.2
814,34,Burundi,1803,31.5
815,35,Cambodia,1803,35.0
816,36,Cameroon,1803,28.75
817,37,Canada,1803,39.0
818,38,Cape Verde,1803,33.8
819,39,Cayman Islands,1803,
820,40,Central African Republic,1803,30.0
821,41,Chad,1803,30.9
822,42,Channel Islands,1803,
823,43,Chile,1803,32.0
824,44,China,1803,32.0
825,45,Christmas Island,1803,
826,46,Cocos Island,1803,
827,47,Colombia,1803,32.0
828,48,Comoros,1803,32.1
829,49,"Congo, Dem. Rep.",1803,31.6
830,50,"Congo, Rep.",1803,32.7
831,51,Cook Is,1803,
832,52,Costa Rica,1803,30.21
833,53,Cote d'Ivoire,1803,31.16
834,54,Croatia,1803,36.1
835,55,Cuba,1803,32.58
